station,avg_weekday_riders,monthly_change,monthly_percent,yearly_change,yearly_percent
Richmond,2470,+81,3.4,+152,+6.6%
El Cerrito del Norte,4074,+242,6.3,+400,+10.9%
El Cerrito Plaza,2284,+156,7.3,+265,+13.1%
North Berkeley,1939,+164,9.3,+256,+15.2%
Downtown Berkeley,5734,+178,3.2,+921,+19.1%
Ashby,2168,+205,10.5,+627,+40.7%
Antioch,1876,+74,4.1,+154,+9.0%
Pittsburg Center,459,-12,-2.6,-27,-5.6%
Pittsburg / Bay Point,2391,+109,4.8,+320,+15.5%
North Concord / Martinez,645,+40,6.6,+36,+5.9%
Concord,2699,+100,3.8,+187,+7.4%
Pleasant Hill,2749,+245,9.8,+295,+12.0%
Walnut Creek,3113,+107,3.6,+353,+12.8%
Lafayette,1788,+98,5.8,+208,+13.2%
Orinda,1467,+124,9.3,+233,+18.9%
Rockridge,3005,+175,6.2,+492,+19.6%
MacArthur,4172,+276,7.1,+514,+14.0%
19th St / Oakland,5080,+403,8.6,+668,+15.1%
12th St / Oakland City Center,5838,+682,13.2,+876,+17.7%
Berryessa / North San Jose,1512,+28,1.9,+189,+14.3%
Milpitas,1277,+17,1.4,+136,+11.9%
Warm Springs / South Fremont,1212,+63,5.4,+71,+6.3%
Fremont,2100,+141,7.2,+176,+9.2%
Union City,1935,+116,6.3,+167,+9.5%
South Hayward,1433,+65,4.7,+36,+2.6%
Hayward,2237,+138,6.6,+4,+0.2%
Dublin / Pleasanton,3166,+269,9.3,+260,+8.9%
West Dublin / Pleasanton,1343,+99,8.0,+105,+8.5%
Castro Valley,1313,+19,1.5,+167,+14.5%
Bay Fair,2715,+107,4.1,+176,+6.9%
San Leandro,3434,+175,5.4,+198,+6.1%
Coliseum,2261,+133,6.2,-134,-5.6%
Oakland International Airport,369,-154,-29.4,-17,-4.4%
Fruitvale,4080,+306,8.1,+228,+5.9%
Lake Merritt,2786,+243,9.6,+86,+3.2%
West Oakland,3887,+195,5.3,+494,+14.6%
Embarcadero,19441,"+1,781",10.1,"+2,756",+16.5%
Montgomery Street,15966,"+1,672",11.7,"+1,838",+13.0%
Powell Street,11050,-550,-4.7,+418,+3.9%
Civic Center,10070,+622,6.6,"+1,223",+13.8%
16th Street Mission,6109,+477,8.5,+645,+11.8%
24th Street Mission,5819,+252,4.5,+508,+9.6%
Glen Park,3328,+182,5.8,+220,+7.1%
Balboa Park,4273,+286,7.2,+340,+8.6%
Daly City,4750,-24,-0.5,+388,+8.9%
Colma,1741,+175,11.2,+247,+16.5%
South San Francisco,1538,+126,8.9,+192,+14.3%
San Bruno,1647,+105,6.8,+229,+16.2%
San Francisco International Airport,3813,-230,-5.7,+986,+34.9%
Millbrae,1927,+35,1.9,+286,+17.4%
